sport,game_id,a_team,h_team,a_ml,h_ml,last_mod,num_markets
FOOT,6974347,Houston Roughnecks,Seattle Dragons,6,4.8,1.181818,1583607600000,1583388506363
FOOT,6974349,Dallas Renegades,New York Guardians,6,3.6,1.298507,1583618400000,1583386401292
FOOT,6974360,DC Defenders,St. Louis BattleHawks,7,1.555556,2.45,1583697600000,1583391711526
FOOT,7017374,Los Angeles Wildcats,Tampa Bay Vipers,6,2.05,1.741,1583719200000,1583385043601
CRIC,7039846,Australia,South Africa,55,2.7,1.487805,1583568000000,1583392142782
CRIC,7037642,Ireland,Afghanistan,71,1.434783,2.9,1583483400000,1583385756105
CRIC,7039088,West Indies Legends,India Legends,2,1.588235,2.4,1583587800000,1583336602745
CRIC,6986528,Quetta Gladiators,Peshawar Zalmi,77,1.909091,1.87,1583416800000,1583392142566
CRIC,6986527,Multan Sultans,Karachi Kings,71,2,1.8,1583503200000,1583374260547
CRIC,7040147,Australia W,South Africa W,45,3.8,1.29,1583395200000,1583393615322
CRIC,7037266,Lions,Dolphins,55,1.77,2.05,1583407800000,1583392142573
CRIC,7037711,Warriors,Titans,55,1.571429,2.45,1583494200000,1583261775598
CRIC,7040197,Zimbabwe,Bangladesh,55,1.133333,6,1583481600000,1583369884018
CRIC,7042856,West Indies,Sri Lanka,61,2.3,1.625,1583501400000,1583392142813
BASE,7007369,Boston Red Sox,Houston Astros,1,2,1.8,1583431500000,1583380257202
BASE,7007370,Detroit Tigers,New York Yankees,1,1.645161,2.25,1583431500000,1583350273089
BASE,7007329,Tampa Bay Rays,Pittsburgh Pirates,1,2.45,1.555556,1583431500000,1583392598289
BASE,7007337,Philadelphia Phillies,Toronto Blue Jays,1,2.05,1.8,1583431500000,1583379322694
BASE,7007364,San Francisco Giants,Cleveland Indians,1,2,1.8,1583438700000,1583379058260
BASE,7007303,Oakland Athletics,Los Angeles Dodgers,1,2.05,1.8,1583438700000,1583376596419
BASE,7007327,Cincinnati Reds,Milwaukee Brewers,1,2,1.8,1583438700000,1583388184349
BASE,7007352,Baltimore Orioles,Minnesota Twins,1,1.8,2,1583438700000,1583383294269
BASE,7007316,Seattle Mariners,San Diego Padres,1,2,1.833333,1583439000000,1583389033937
BASK,6972580,Houston Rockets,Los Angeles Clippers,88,1.87,1.952381,1583456400000,1583393775663
BASK,6972607,Sacramento Kings,Philadelphia 76ers,85,2.7,1.5,1583463600000,1583393510155
BASK,6972582,Golden State Warriors,Toronto Raptors,0,0,0,0,0
BASK,7042664,UNLV ,Boise State,0,0,0,0,0
BASK,7042670,Michigan  (#25),Nebraska,0,0,0,0,0
BASK,7042668,Connecticut ,Houston (#21),0,0,0,0,0
BASK,7042678,Drake ,Illinois State,0,0,0,0,0
BASK,7042675,Ohio State (#19),Illinois (#23),0,0,0,0,0
BASK,7042671,Army,Lafayette ,0,0,0,0,0
BASK,7042666,Boston U ,Navy,0,0,0,0,0
BASK,7042661,NC Central,North Carolina A&T,0,0,0,0,0
BASK,7042672,MD Eastern Shore,Coppin State,0,0,0,0,0
BASK,7042663,Howard ,Delaware State ,0,0,0,0,0
BASK,7042680,Bethune Cookman ,Florida A&M ,0,0,0,0,0
BASK,7042692,Morgan State,Norfolk State,0,0,0,0,0
BASK,7042659,Longwood ,Hampton ,0,0,0,0,0
BASK,7042669,Alabama A&M ,Grambling,0,0,0,0,0
BASK,7042667,Alabama State,Jackson State ,0,0,0,0,0
BASK,7042684,Alcorn State,Prairie View A&M,0,0,0,0,0
BASK,7042681,Southern U,Texas Southern,0,0,0,0,0
BASK,7042690,New Mexico State,California Baptist,0,0,0,0,0
BASK,7042694,Montana,Northern Colorado ,0,0,0,0,0
BASK,7042679,Loyola Marymount,San Diego,0,0,0,0,0
BASK,7042691,Montana State,Southern Utah ,0,0,0,0,0
BASK,7042687,Oregon State,Stanford ,0,0,0,0,0
BASK,7042699,Utah Valley,UMKC ,0,0,0,0,0
BASK,7042677,Arizona State,Washington,0,0,0,0,0
BASK,7042698,Memphis,Wichita State,0,0,0,0,0
BASK,7042695,Eastern Washington ,Idaho State,0,0,0,0,0
BASK,7042686,Valparaiso ,Evansville ,0,0,0,0,0
BASK,7042689,Idaho U,Weber State,0,0,0,0,0
